"Jacqueline D. Reses > Square Financial Services, Inc. > Relationship TreeRelationship Types: Board/Professional/Personal Relationships with Priors",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Reses, Jacqueline D.",,,,,,,,,,,,,,
"Square Financial Services, Inc.",,,,,,,,,,,,,,
Chairman of the Board,,,,,,,,,,,,,,
Federal Reserve Bank of San Francisco,,,,,,,,,,,,,,
"Other Relationships: 3 Inside Board, 138 Outside Board, 31 Professional",,,,,,,,,,,,,,
,"Meyer, Barry M.",,,,,,,,,,,,,
,Vice Chairman,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Adler Lundgren, Tamara L. - Schnitzer Steel Industries, Inc.: Chairman, President & CEO",,,,,,,,,,,,,
,Unit Chairman,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Richards, Patricia Rae - SelectHealth, Inc.: President, CEO & Director",,,,,,,,,,,,,
,Unit Chairman,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Matsubayashi, Dean ",,,,,,,,,,,,,
,Chairman of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Pelo, John E. - Key Technology, Inc.: Independent Director",,,,,,,,,,,,,
,Chairman of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Sanborn, Richard M. - Seacoast Commerce Banc Holdings: President, CEO & Director",,,,,,,,,,,,,
,Chairman of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 3 Professional,,,,,,,,,,,,,
,"Blackwell, Fred ",,,,,,,,,,,,,
,Vice Chairman of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Thompson, Mary Patricia B. - MWI Veterinary Supply, Inc.: Former CFO, Principal Accounting Officer and Senior VP of Finance &...",,,,,,,,,,,,,
,Vice Chairman of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Aguilar, Orson ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Beer, James A. - Atlassian Corporation Plc: Chief Financial Officer",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 6 Professional,,,,,,,,,,,,,
,"Benelli, Terry  - Local Initiatives Support Corporation: Executive Director of Phoenix Program",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Bryan, Glynis A. - Insight Enterprises, Inc.: Chief Financial Officer",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 5 Professional,,,,,,,,,,,,,
,"Compton, S. Randolph - Pioneer Trust Bank, N.A.: Co-Chairman & Co-CEO",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Craver, Theodore F. - Mission Energy Holding Company: Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Donegan, Robert C. - Cost-U-Less, Inc.: Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Dooley, Elizabeth J. - Educational Employees Credit Union: President & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Dozier, La Shelle",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Gardner, Steven R. - Pacific Premier Bancorp, Inc.: Chairman, President & CEO",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Garrabrants, Gregory  - Axos Financial, Inc.: President, CEO & Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Gonzalez, Paulina ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Gore, Carol ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Gurney, Tamara G. - Mission Valley Bancorp: President, CEO & Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Hall, Katheryn Ann - Hall Capital Partners LLC: Founder, Co-Chair & Board Member",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Harding, Gary  - Prime Alliance Bank, Inc.: Former President & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Herbert, James H. - First Republic Bank: Founder, Chairman & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Ho, Peter S. - Bank of Hawaii Corporation: Chairman, President & CEO",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Jamason, Cherie ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Kauhane, Michelle ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Knauss, Donald R. - McKesson Corporation: Independent Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Leader, Kevin C. - Bechtel Corporation: Treasurer",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Lee, Karen T. - Pioneer Human Services: Chief Executive Officer",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Lee, Lewis C.",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Michelman, Sanford L.",,,,,,,,,,,,,
,Member of the Board of Directors,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Miller, Connie J. - Icon Credit Union: President & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Morin, Irma ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Paulson, Tim ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Pelham, Eugene L. - Rogue Credit Union: President & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Quiñonez, José A.",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Ramirez, Robert D. - Vantage West Credit Union: Former President & CEO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Rao, Shubhi Suryaji",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Rumpf, Bill ",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Russell, Harald R. - Commencement Bancorp Inc.: Founder & Chairman of the Board",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 1 Professional,,,,,,,,,,,,,
,"Ryback, Andrew J. - Plumas Bancorp: President, CEO & Director",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Schierhorn, Joseph M. - Northrim BanCorp, Inc.: Chairman, President, CEO & COO",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,0 Other Relationships,,,,,,,,,,,,,
,"Seldon, Willa E. - The Bridgespan Group, Inc.: Partner of San Francisco Operations",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
,Other Relationships: 2 Professional,,,,,,,,,,,,,
,"Skaff, Daniel Lawrence - Beneficial State Bancorp, Inc.: Vice Chairman of the Board",,,,,,,,,,,,,
,Member of Advisory Board,,,,,,,,,,,,,
